Tender ID,tender_externalreference,tender_title,Work Description,Tender Category,Tender Type,Form of contract,Product Category,Is Multi Currency Allowed For BOQ,Allow Two Stage Bidding,Independent External Monitor/Remarks,Published Date,Pre Bid Meeting Date,Bid Validity(Days),Should Allow NDA Tender,Allow Preferential Bidder,Payment Mode,Bid Opening Date,Organisation Chain,location,Pincode,No of Bids Received,Tender Value in ₹,Bidder Name,Awarded Value,Status,Contract Date :,Department
2020_HPIPH_40493_1,6330-85 dated 09-09-2020,Improvement and retrofitting of LWSS Dehal in G.P. Jabal Jamrot in Tehsil Kasauli District Solan ( HP) (SH- Providing Parallel distribution system) (Under Jal Jeevan Mission),Improvement and retrofitting of LWSS Dehal in G.P. Jabal Jamrot in Tehsil Kasauli District Solan ( HP) (SH- Providing Parallel distribution system) (Under Jal Jeevan Mission),Works,Open Tender,Item Rate,Civil Works,No,No,NA ,09-Sep-2020 04:15 PM,NA ,120.0,No ,No,Online,17-Sep-2020 11:30 AM,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Arki,Irrigation and Public Health,HP",Dehal,173207.0,2.0,"7,85,769",Ram Raj,"517,933",Accepted-AOC,02-Feb-2024,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Arki,Irrigation and Public Health,HP"
2020_HPIPH_40500_1,6330-85 dated 09-09-2020,"Improvement and retrofitting of LWSS Man Betnu under Jal Shakti Section Kunihar, Sub Division, Subathu in Tehsil Arki District Solan ( HP) (SH- Laying and jointing of GI Pipe (Light Class) of various dia in distribution system (under JJM).","Improvement and retrofitting of LWSS Man Betnu under Jal Shakti Section Kunihar, Sub Division, Subathu in Tehsil Arki District Solan ( HP) (SH- Laying and jointing of GI Pipe (Light Class) of various dia in distribution system (under JJM).",Works,Open Tender,Item Rate,Civil Works,No,No,NA ,09-Sep-2020 04:40 PM,NA ,120.0,No ,No,Online,17-Sep-2020 11:30 AM,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Arki,Irrigation and Public Health,HP",Man Betnu,173207.0,2.0,"12,68,331",Ram Raj,"697,160",Accepted-AOC,02-Feb-2024,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Arki,Irrigation and Public Health,HP"
2021_HPIPH_47632_1,JSDS-TA-NIT/21- 3041-3140 dated 19.05.21,"Providing FHTC at Jal Shakti Section Jangeshu in GP Taksal Jangeshu Kot Beja and Bhaguri in Tehsil Kasauli Distrct Solan HP Sub Head Providing FHTC connections, main storage tank cap 148000 liters main storage tank cap 120000 liters main storage tank","Providing FHTC at Jal Shakti Section Jangeshu in GP Taksal Jangeshu Kot Beja and Bhaguri in Tehsil Kasauli Distrct Solan HP Sub Head Providing FHTC connections, main storage tank cap 148000 liters main storage tank cap 120000 liters main storage tank",Works,Open Tender,Item Rate,Civil Works - Others,No,No,NA ,20-May-2021 06:00 PM,NA ,120.0,No ,No,Online,27-May-2021 11:30 AM,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Solan,Irrigation and Public Health,HP",Jangeshu Tehsil Kasauli,173209.0,2.0,"30,16,041",Hira Singh Manta,"3,499,180",Accepted-AOC,03-Feb-2024,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Solan,Irrigation and Public Health,HP"
2021_PWD_51586_10,PWD-TA-tender/2020-21 5637-5686 dated 09.08.2021,Restoration of Rain Damage due to laying of OFC on Shahpur Sihunta Chowari Jot Chamba road Km. 66/0 to 76/0,Removal of Formation Deficiency in essential reaches in Km. 66/0 to 76/0,Works,Open Tender,Item Rate,Civil Works,No,No,NA ,24-Aug-2021 04:00 PM,NA ,75.0,No ,No,Online,04-Sep-2021 03:30 PM,PWD,Bagdhar (Dalhousie),176303.0,2.0,"13,69,650",vidal sharma,"1,931,363",Rejected-Finance,08-Feb-2024,PWD
2021_PWD_54119_11,Tender2021-22-7926-75 dated 20.11.2021,Restoration of rain damages to Paonta Puruwala Singhpura Bhagani Gojjar Dakpathar road (MDR-94) Km. 0/0 to 26/500. (SH- Repair to existing 2.00 mtrs. span RCC Slab Culvert at RD. 10/390).,Restoration of rain damages to Paonta Puruwala Singhpura Bhagani Gojjar Dakpathar road (MDR-94) Km. 0/0 to 26/500. (SH- Repair to existing 2.00 mtrs. span RCC Slab Culvert at RD. 10/390).,Works,Open Tender,Item Rate,Civil Works - Roads,No,No,NA ,01-Dec-2021 04:30 PM,NA ,75.0,No ,No,Online,15-Dec-2021 11:00 AM,PWD,Paonta Sahib,173025.0,2.0,"3,17,941",Basti Ram,"250,897",Rejected-Technical,21-Feb-2024,PWD
2021_PWD_54119_17,Tender2021-22-7926-75 dated 20.11.2021,Repair and maintenance to Salwala Puruwala road km.0/0 to 2/0(SH-Providing and laying 80mm.thick cement concrete paver blocks in km.0/0 to 0/067).,Repair and maintenance to Salwala Puruwala road km.0/0 to 2/0(SH-Providing and laying 80mm.thick cement concrete paver blocks in km.0/0 to 0/067).,Works,Open Tender,Item Rate,Civil Works - Roads,No,No,NA ,21-Dec-2021 04:30 PM,NA ,75.0,No ,No,Online,28-Dec-2021 11:00 AM,PWD,Paonta sahib,173025.0,2.0,"4,93,900",Avinash,"345,730",Rejected-Finance,05-Feb-2024,PWD
2022_HPIPH_55367_1,12468-520 dated 04-01-2022,"Renovation of LIS Jadla in G.P. Jadla in Distt Solan H.P. (SH- CC Lining 1.3.6 in field channel, L/J of HDPE Pipe in distribution system, C/O Outlet Chamber, Repair of Pump House, and C/O Retaining wall and Breast Wall around Pump House).","Renovation of LIS Jadla in G.P. Jadla in Distt Solan H.P. (SH- CC Lining 1.3.6 in field channel, L/J of HDPE Pipe in distribution system, C/O Outlet Chamber, Repair of Pump House, and C/O Retaining wall and Breast Wall around Pump House).",Works,Open Tender,Item Rate,Civil Works,No,No,NA ,04-Jan-2022 04:00 PM,NA ,120.0,No ,No,Online,12-Jan-2022 11:30 AM,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Arki,Irrigation and Public Health,HP",Jadla,173208.0,2.0,"9,05,823",Ram Raj,"836,032",Rejected-Finance,02-Feb-2024,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Arki,Irrigation and Public Health,HP"
2022_HPIPH_65365_1,GMR-BLP02-737(9247-97),Construction of Lift Irrigation Scheme to Auhar Palthin Sepra Bakroa Paleh Peherwin Majhasu and adjoining area under JSV Division Ghumarwin in Tehsil Ghumarwin Distt Bilaspur HP in single package on Trun Key job basis including testing run defect,and liability period as 2 years after physical completion of all component of the schemes,Works,Open Tender,Turn-key,Civil Works,No,No,NA ,22-Sep-2022 05:00 PM,30-Sep-2022 05:00 PM ,180.0,No ,No,Online,04-Oct-2022 11:30 AM,"HP Irrigation and Public Health||Bilaspur Circle,Irrigation and Public Health,HP||Ghumarwin,Irrigation and Public Health,HP",Ghumarwin,174021.0,2.0,"15,17,85,609",ARUNESH GUPTA,"133,253,815",Accepted-AOC,12-Feb-2024,"HP Irrigation and Public Health||Bilaspur Circle,Irrigation and Public Health,HP||Ghumarwin,Irrigation and Public Health,HP"
2022_HPIPH_65607_1,EE-JSD-RMP-E-TEN/22-7796-846DT 26.9.22,Prov. Sew scheme to ward no 9 khaneri tehsil rampur job 1,Prov. Sew scheme to ward no 9 khaneri tehsil rampur job 1,Works,Open Tender,Item Rate,Civil Works,No,No,NA ,27-Sep-2022 05:00 PM,NA ,120.0,No ,No,Both(Online/Offline),04-Oct-2022 10:00 AM,"HP Irrigation and Public Health||Rekongpeo Circle,Irrigation and Public Health,HP||Rampur,Irrigation and Public Health,HP",Khanerii,172001.0,2.0,,R D Eco Paryavaran,"866,108",Rejected-Finance,01-Feb-2024,"HP Irrigation and Public Health||Rekongpeo Circle,Irrigation and Public Health,HP||Rampur,Irrigation and Public Health,HP"
2022_HPIPH_65614_1,EE-JSD-RMP-E-TEN/22-7796-846DT 26.9.22,Prov. Sew scheme to ward no 9 khaneri tehsil rampur job 2,Prov. Sew scheme to ward no 9 khaneri tehsil rampur job 2,Works,Open Tender,Item Rate,Civil Works,No,No,NA ,27-Sep-2022 05:00 PM,NA ,120.0,No ,No,Both(Online/Offline),04-Oct-2022 10:00 AM,"HP Irrigation and Public Health||Rekongpeo Circle,Irrigation and Public Health,HP||Rampur,Irrigation and Public Health,HP",Khanerii,172001.0,2.0,,Dogra Construction Company Pvt Ltd,"869,368",Rejected-Finance,01-Feb-2024,"HP Irrigation and Public Health||Rekongpeo Circle,Irrigation and Public Health,HP||Rampur,Irrigation and Public Health,HP"
