Tender ID,tender_externalreference,tender_title,Work Description,Tender Category,Tender Type,Form of contract,Product Category,Is Multi Currency Allowed For BOQ,Allow Two Stage Bidding,Independent External Monitor/Remarks,Published Date,Pre Bid Meeting Date,Bid Validity(Days),Should Allow NDA Tender,Allow Preferential Bidder,Payment Mode,Bid Opening Date,Organisation Chain,location,Pincode,No of Bids Received,Tender Value in ₹,Bidder Name,Awarded Value,Status,Contract Date :,Department
2021_HPIPH_49357_1,2902-70 dated 01-07-2021,"Providing storage tank at Village Pather in G.P. Surajpur (SH- C/O storage tank at Village Pather 12000 liters capacity, and Imp.of GWSS Rachhakara, Kiyari, Sokhar, C/O cut off wall and L/J of G.I. pipe (light class) of various dia in d/ system).","Providing storage tank at Village Pather in G.P. Surajpur (SH- C/O storage tank at Village Pather 12000 liters capacity, and Imp.of GWSS Rachhakara, Kiyari, Sokhar, C/O cut off wall and L/J of G.I. pipe (light class) of various dia in d/ system).",Works,Open Tender,Item Rate,Civil Works,No,No,NA ,02-Jul-2021 02:10 PM,NA ,120.0,No ,No,Online,09-Jul-2021 11:30 AM,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Arki,Irrigation and Public Health,HP",Pather,171102.0,2.0,,Anoop Kumar Sharma Govt. Contractor,"595,991",Rejected-Finance,10-Jan-2024,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Arki,Irrigation and Public Health,HP"
2021_HPIPH_50649_1,5336-85 Dated 31-07-2021,"Annual repair, maintenance and operation of LWSS Gohri in Tehsil Arki, Distt. Solan (H.P)(SH- Providing man power for operation and maintenance of pumping machinery, Rising main and distribution network for 2 years).","Annual repair, maintenance and operation of LWSS Gohri in Tehsil Arki, Distt. Solan (H.P)(SH- Providing man power for operation and maintenance of pumping machinery, Rising main and distribution network for 2 years).",Works,Open Tender,Item Rate,Civil Works,No,No,NA ,31-Jul-2021 05:30 PM,NA ,120.0,No ,No,Online,07-Aug-2021 11:30 AM,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Arki,Irrigation and Public Health,HP",Gohri,173208.0,2.0,"7,22,330",O P Bhardwaj,"484,000",Rejected-Finance,01-Jan-2024,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Arki,Irrigation and Public Health,HP"
2021_HPIPH_52722_1,JS-DS-TA-NIT/2021- 16908-17007 dated 25.09.2021,Providing LWSS Mehli Phase_II in GP Kanair Tehsil Kandaghat District Solan HP Sub Head _ Laying of GMS pipe for distribution networks _ laying of rising main 50mm dia _ laying of rising main 40mm dia etc,Providing LWSS Mehli Phase_II in GP Kanair Tehsil Kandaghat District Solan HP Sub Head _ Laying of GMS pipe for distribution networks _ laying of rising main 50mm dia _ laying of rising main 40mm dia etc,Works,Open Tender,Item Rate,Civil Works - Others,No,No,NA ,25-Sep-2021 06:00 PM,NA ,120.0,No ,No,Online,04-Oct-2021 11:30 AM,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Solan,Irrigation and Public Health,HP",Gram Panchayat Kanair Tehsil Kandaghat,173212.0,2.0,"83,87,139",HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,"8,549,222",Rejected-Finance,03-Jan-2024,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Solan,Irrigation and Public Health,HP"
2021_HPIPH_53530_1,9709-68 dated 12-11-2021,Improvement and retrofitting of various LWSS / GWSS Under Jal Shakti Section Domehar in G.P Domehar Tehsil Arki Distt. Solan(HP) (SH- L/J G.I pipe (light class ) of various dia in distribution system) (Under Jal Jeevan Mission),Improvement and retrofitting of various LWSS / GWSS Under Jal Shakti Section Domehar in G.P Domehar Tehsil Arki Distt. Solan(HP) (SH- L/J G.I pipe (light class ) of various dia in distribution system) (Under Jal Jeevan Mission),Works,Open Tender,Item Rate,Civil Works,No,No,NA ,12-Nov-2021 03:50 PM,NA ,120.0,No ,No,Online,20-Nov-2021 11:30 AM,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Arki,Irrigation and Public Health,HP",Domehar,173208.0,2.0,"9,29,948",Sh. Lekh Raj Sharma,"619,900",Rejected-Finance,01-Jan-2024,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Arki,Irrigation and Public Health,HP"
2021_PWD_52632_1,No.PWC-WA-II- 7945-8044 dated 13-9-21,Construction of Link road to village Chanjuin Km. 0/0 to 1/750 Formation cutting in Km.1/0 to 1/360),Construction of Link road to village Chanjuin Km. 0/0 to 1/750 Formation cutting in Km.1/0 to 1/360),Works,Open Tender,Item Rate,Civil Works,No,No,NA ,23-Sep-2021 06:00 PM,NA ,75.0,No ,No,Online,30-Sep-2021 11:30 AM,PWD,chamba,176310.0,2.0,"11,95,924",Vishav Dev Sharma,"2,057,683",Rejected-Finance,16-Jan-2024,PWD
2021_PWD_52632_2,No.PWC-WA-II- 7945-8044 dated 13-9-21,Construction of Link road to village Chanjuin Km. 0/0 to 1/750 (SH Formation cutting in Km1/360 to 1/750),Construction of Link road to village Chanjuin Km. 0/0 to 1/750 (SH Formation cutting in Km1/360 to 1/750),Works,Open Tender,Item Rate,Civil Works,No,No,NA ,23-Sep-2021 06:00 PM,NA ,90.0,No ,No,Online,30-Sep-2021 11:30 AM,PWD,chamba,176310.0,2.0,"8,20,393",Vishav Dev Sharma,"1,590,046",Rejected-Finance,16-Jan-2024,PWD
2021_PWD_54618_1,BHUMANI,Construction of link road from Pukhari to Bhumani KM 0/0 to 2/500,"Removal of formation deficiency in KM 0/0 to 2/500, Cross Drainage work in KM 1/0 to 2/500, M/T in KM 0/800 to 2/500",Works,Open Tender,Item Rate,Civil Works,No,No,NA ,13-Dec-2021 06:00 PM,NA ,75.0,No ,No,Online,20-Dec-2021 11:30 AM,PWD,TISSA,176316.0,2.0,"1,25,51,086",construction,"11,190,969",Accepted-AOC,10-Jan-2024,PWD
2022_HPIPH_56187_1,12922-81 dated 28-01-2022,"LWSS to Village Nagar Siyawan Sub Village Tuikri in G.P. Kunihar (SH- C/O Sump Well, Main S/Tank, S/E of Submersible Pumping Machinery 2x10 HP, L/J of R/main 50 mm dai (H), L/J of GI Pipe in distribution system and C/O Attendant quarter).","LWSS to Village Nagar Siyawan Sub Village Tuikri in G.P. Kunihar (SH- C/O Sump Well, Main S/Tank, S/E of Submersible Pumping Machinery 2x10 HP, L/J of R/main 50 mm dai (H), L/J of GI Pipe in distribution system and C/O Attendant quarter).",Works,Open Tender,Item Rate,Civil Works,No,No,NA ,28-Jan-2022 03:35 PM,NA ,120.0,No ,No,Online,05-Feb-2022 11:30 AM,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Arki,Irrigation and Public Health,HP",Kunihar,173207.0,2.0,"19,34,489",HARISH,"1,398,090",Rejected-Finance,11-Jan-2024,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Arki,Irrigation and Public Health,HP"
2022_HPIPH_56191_1,3157-3206,Design Build including Civil works and Operation and Maintenance for 5 years of Rural Water Supply Scheme at District Chamba,Design Build including Civil works and Operation and Maintenance for 5 years of Rural Water Supply Scheme at District Chamba,Works,Global Tenders,Item Rate,Civil Works,No,No,NA ,28-Jan-2022 06:00 PM,08-Feb-2022 03:00 PM ,180.0,No ,No,Both(Online/Offline),25-Feb-2022 03:30 PM,HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,Chamba,176310.0,2.0,"40,16,00,000",R.G. INDUSTRIES,"540,729,915",Rejected-Finance,03-Jan-2024,HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi
2022_HPIPH_60340_1,EE/JSD/Ten-2022-2068-2167,Improvement of Flow Irrigation Scheme Badul Kuhl from Baner Khad in Tehsil Dharamshala and District Kangra,Improvement of Flow Irrigation Scheme Badul Kuhl from Baner Khad in Tehsil Dharamshala and District Kangra,Works,Open Tender,Item Rate,Civil Works,No,No,NA ,05-May-2022 05:00 PM,NA ,120.0,No ,No,Online,19-May-2022 11:30 AM,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Dharamshala,Irrigation and Public Health,HP",DHARAMSHALA,176215.0,2.0,"1,48,75,562",om parkash kapoor,"12,145,401",Rejected-Finance,09-Jan-2024,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Dharamshala,Irrigation and Public Health,HP"
2022_HPIPH_62919_1,5870-5940 dated 20-07-2022,Providing drinking water facilities from existing Main Storage Tank Ultra Tech Cement Plant at Bagga to Village Dangoyal Dhar and Sehnalighat in G.P. Mangal Tehsil Arki Distt. Solan (HP),"(SH- Providing Laying and jointing MSERW pipe , Laying and jointing GMS pipe (Heavy and Medium class) of Rising Main).",Works,Open Tender,Item Rate,Civil Works,No,No,NA ,20-Jul-2022 05:20 PM,NA ,120.0,No ,No,Online,28-Jul-2022 11:30 AM,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Arki,Irrigation and Public Health,HP",Mangal,171102.0,2.0,"7,73,139",Chetan Thakur,"741,098",Rejected-Finance,11-Jan-2024,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Arki,Irrigation and Public Health,HP"
2022_HPIPH_63423_1,EE-JSD-BAGGI/2022- 19610-60 DATED 04/082022,PROVIDING HOUSE HOLD CONNECTION IN VARIOUS VILLAGE UNDER JAL SHAKTI SUB DIVISION NO II BAGGI,AS PER BOQ,Works,Open Tender,Item Rate,Civil Works,No,No,NA ,06-Aug-2022 09:00 AM,NA ,120.0,No ,No,Both(Online/Offline),17-Aug-2022 11:30 AM,"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||Baggi,Irrigation and Public Health,HP",BAGGI,175027.0,2.0,"39,53,417",SB Trading company,"4,271,850",Rejected-Finance,18-Jan-2024,"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||Baggi,Irrigation and Public Health,HP"
2022_HPIPH_65285_1,JSV-DM-7010-15/1,R M of LWSS Matiana Kariyali in G.P Rauni Matiana Tehsil Theog and Distt. Shimla H.P.,SH Supply and errection of Centrifugal pumping machinery with allied accessories stage.2nd,Works,Open Tender,Item Rate,Pumps/Motors,No,No,NA ,21-Sep-2022 05:00 PM,NA ,120.0,No ,No,Both(Online/Offline),07-Oct-2022 11:30 AM,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP",Matiana,171212.0,2.0,,competent associates,"835,000",Accepted-AOC,06-Jan-2024,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP"
2022_PWD_58750_10,Tender/13858-13907 dated 24.03.2022,Improvement of black spot on Kolar Bilaspur road km. 0/0 to 12/00. (SH-C/O C.C. R/wall RD. 11/185 to 11/200).,Improvement of black spot on Kolar Bilaspur road km. 0/0 to 12/00. (SH-C/O C.C. R/wall RD. 11/185 to 11/200).,Works,Open Tender,Item Rate,Civil Works - Roads,No,No,NA ,28-Mar-2022 05:00 PM,NA ,75.0,No ,No,Online,07-Apr-2022 11:00 AM,PWD,Paonta Sahib,173025.0,2.0,"7,75,800",IQUBAL,"543,060",Accepted-AOC,24-Jan-2024,PWD
2022_PWD_59338_2,PW-JD/E-Tender/2021-22 -65-67 DT2.4.2022,Providing Metalling and Tarring Works to Thana to Mandal link road Km 0/0 to 1/765 underMLA LAD,P/L Wearing coat G- 2 and Tarring work in Km 0/500 to 0/960,Works,Open Tender,Item Rate,Civil Works - Roads,No,No,NA ,08-Apr-2022 11:30 AM,NA ,120.0,No ,No,Online,16-Apr-2022 11:30 AM,PWD,JUBBAL,171205.0,2.0,"9,92,837",MANISHA RAWAT,"999,466",Accepted-AOC,24-Jan-2024,PWD
2022_PWD_59832_4,No.PWC- WA-II- 776-875 dated 16.4.2022,Annual Maintenance on Sungal Paluin road Km. 9/0 to 10/500 for the year 2022-23 (SH Providing and laying Bituminous concrete),Annual Maintenance on Sungal Paluin road Km. 9/0 to 10/500 for the year 2022-23 (SH Providing and laying Bituminous concrete),Works,Open Tender,Percentage,Civil Works,No,No,NA ,23-Apr-2022 10:00 AM,NA ,75.0,No ,No,Online,02-May-2022 11:30 AM,PWD,chamba,176310.0,2.0,"24,07,200",Surinder Pal Dhall,"2,479,416",Rejected-Finance,16-Jan-2024,PWD
2022_PWD_62459_6,pw-dpd-cb-tender 10641-43 dt. 27/06/2022,C/O Link road Dhagwani to Chandpur,"CC pavement , ROFD, B/wall and R/wall at various RDs",Works,Open Tender,Item Rate,Civil Works - Roads,No,No,NA ,07-Jul-2022 06:00 PM,NA ,120.0,No ,No,Online,14-Jul-2022 11:00 AM,PWD,dharampur,175040.0,2.0,"26,19,833",ANTIM KUMAR,"2,725,317.25",Accepted-AOC,27-Jan-2024,PWD
2022_PWD_62459_8,pw-dpd-cb-tender 10641-43 dt. 27/06/2022,C/O Link road to village Dhalara,P/L 25mm thick bituminous concrete in km 0/00 to 1/00,Works,Open Tender,Item Rate,Civil Works - Roads,No,No,NA ,11-Jul-2022 06:00 PM,NA ,120.0,No ,No,Online,19-Jul-2022 11:00 AM,PWD,dharampur,175040.0,2.0,"11,49,968",MOHINDER PAL GOVT. CONTRACTOR,"1,756,851",Accepted-AOC,31-Jan-2024,PWD
2022_PWD_62813_1,Type I Quarters in HPPWD Colony,A/R and M/O Type-I Quarters in HPPWD Colony at Hamirpur,SH Construction of mild Steel Balcony in backside of Quarter No 5 to 8,Works,Open Tender,Item Rate,Civil Works - Buildings,No,No,NA ,18-Jul-2022 06:00 PM,NA ,60.0,No ,No,Online,25-Jul-2022 11:00 AM,PWD,Hamirpur,177001.0,2.0,"13,67,879",SURESH THAKUR GOV CONT,"1,116,902.52",Rejected-Finance,15-Jan-2024,PWD
2022_PWD_63503_1,5581-5630 dt.3.8.2022,Annual Maintenance Plan (AMP) of Kangra Sub Division for the year 2022-23 Rural road Link road Kholi to Lower Kholi (HP0406VR132) km.0/0 to 0/400,(SH - P/L 30mm Thick bituminous concrete in km.0/0 to 0/400),Works,Open Tender,Item Rate,Civil Works - Roads,No,No,NA ,12-Aug-2022 09:00 AM,NA ,120.0,No ,No,Online,23-Aug-2022 11:00 AM,PWD,Kangra,176001.0,2.0,"5,23,161",Chamunda Construction Works,"526,107",Accepted-AOC,29-Jan-2024,PWD
2022_PWD_64092_1,Trisha College Shankar to village Sohri,Construction of road from Trisha College Shankar to village Sohri km 0/0 to 3/915,SH Construction of Retaining walls U-Shape drain GSB and RCCP in different RDs,Works,Open Tender,Item Rate,Civil Works - Roads,No,No,NA ,26-Aug-2022 10:30 AM,NA ,60.0,No ,No,Online,02-Sep-2022 11:00 AM,PWD,Hamrpur,177001.0,2.0,"19,09,552",ANKUSH KAPIL,"1,597,330",Rejected-Technical,24-Jan-2024,PWD
