Tender ID,tender_externalreference,tender_title,Work Description,Tender Category,Tender Type,Form of contract,Product Category,Is Multi Currency Allowed For BOQ,Allow Two Stage Bidding,Independent External Monitor/Remarks,Published Date,Pre Bid Meeting Date,Bid Validity(Days),Should Allow NDA Tender,Allow Preferential Bidder,Payment Mode,Bid Opening Date,Organisation Chain,location,Pincode,No of Bids Received,Tender Value in ₹,Bidder Name,Awarded Value,Status,Contract Date :,Department,classification_reasoning,classification_intent,classification_status,classification_error
2020_PWD_18928_15,CE/STBR/NAB/ RIDF-XXVI/02/20-21/2,RIDF-XXVI/ Sivasagar/02 Widening and Strengthening of 9th km of Sepon Sunpura road to Markhuwabari via Jabalating under RIDF-XXVI of NABARD for the year 2020-21 in Thowra LAC,RIDF-XXVI/ Sivasagar/02 Widening and Strengthening of 9th km of Sepon Sunpura road to Markhuwabari via Jabalating under RIDF-XXVI of NABARD for the year 2020-21 in Thowra LAC,Works,Open Tender,Item Rate,Civil Works,No,No,NA ,14-Oct-2020 05:00 PM,NA ,180.0,No ,No,Offline,05-Nov-2020 11:00 AM,Public Works Roads Department,Sivasagar,781003.0,2.0,"8,74,91,000",DIGANTA DUARAH,"87,482,879.22",Accepted-AOC,03-Jun-2024,Public Works Roads Department,"The tender is for the widening and strengthening of a 9 km road section under the Rural Infrastructure Development Fund (RIDF) of NABARD. The project is specifically mentioned to be under RIDF-XXVI for the year 2020-21, indicating it is a planned infrastructure development work rather than an emergency flood response. The location is in the Sivasagar district, which is prone to floods, but the tender does not explicitly mention flood protection or mitigation as the primary purpose. The project scope is focused on road infrastructure improvement, which could have secondary benefits in terms of flood resilience, but is not the main driver. Overall, the tender appears to be a general infrastructure development project rather than a dedicated flood-related work.",Non-Flood,success,
2021_PWD_21135_2,SE/JRC/SOPD(G)/4480,Construction of Kohonor Ali under SOPD-G for the year 2020-21 in PWD Sivasagar and Thowra Territorial Road Division (Length-0.875 Km) Sivasagar LAC .Pkg.No. SOPD-G/20-21/STTRD/Siv/02,Construction of Kohonor Ali under SOPD-G for the year 2020-21 in PWD Sivasagar and Thowra Territorial Road Division (Length-0.875 Km) Sivasagar LAC .Pkg.No. SOPD-G/20-21/STTRD/Siv/02,Works,Open Tender,Item Rate,Civil Works – Roads,No,No,NA ,11-Feb-2021 10:00 AM,NA ,180.0,No ,No,Offline,18-Feb-2021 01:00 PM,Public Works Roads Department,Sivasagar,785640.0,2.0,"74,04,778",Palashprotimborah,"7,034,539.1",Rejected-AOC,21-Feb-2022,Public Works Roads Department,"The tender is for the construction of Kohonor Ali under SOPD-G (Special One Time Grant for Ordinary Repair and Maintenance of Roads and Bridges) for the year 2020-21 in the PWD (Public Works Department) Sivasagar and Thowra Territorial Road Division. The project length is 0.875 km. The tender does not explicitly mention any flood-related works or infrastructure. It appears to be a regular road construction project, without any specific flood protection or mitigation components. The department involved is the Public Works Roads Department, which is not typically associated with flood management. There are no flood-related keywords or context provided in the tender details.",Non-Flood,success,
2021_PWD_21671_1,NIT/ACE/EZ/192/2021/1,Construction of walking zone at Barpatra Ali from Gitarthi point to Malow Ali providing shaded tiles and railing at Jorhat under CIDF,Construction of walking zone at Barpatra Ali from Gitarthi point to Malow Ali providing shaded tiles and railing at Jorhat under CIDF,Works,Open Tender,Works,Civil Works,No,No,NA ,13-May-2021 10:00 AM,NA ,180.0,No ,No,Offline,23-Jun-2021 10:00 AM,Public Works Roads Department,Jorhat,785001.0,2.0,"2,22,95,500",Tej Karan Jain,"22,295,500",Accepted-AOC,11-Jun-2024,Public Works Roads Department,"The tender is for the construction of a walking zone at Barpatra Ali in Jorhat, which includes providing shaded tiles and railing. While the project is located in a potentially flood-prone area, the primary purpose of the work appears to be infrastructure development and improvement of pedestrian facilities rather than direct flood protection or mitigation. There are no explicit mentions of flood-related keywords or flood-specific infrastructure like embankments, dykes, or drainage systems. The tender also does not indicate any urgency or seasonal timing related to flood preparedness or post-flood restoration. Overall, the project seems to be a general development work rather than a specialized flood-related initiative.",Non-Flood,success,
2022_BoTC_28565_1,DPRD/BTC/SOPD/Bak/11/22-23/28,Const of concrete paver road from Sanparia Library house to Bhakru Lahary house under SOPD 2022-23.,DPRD/BTC/SOPD(Baksa)-11/2022-23/28,Works,Open Tender,Item Rate,Civil Works,No,No,NA ,31-Dec-2022 10:30 AM,NA ,180.0,No ,No,Online,25-Jan-2023 02:30 PM,Bodoland Territorial Council||Panchayat and Rural Development-BTC,Baksa,781327.0,2.0,"44,65,482",Sri Sanjay Machahary,"4,465,488.01",Rejected-Finance,10-Feb-2023,Bodoland Territorial Council||Panchayat and Rural Development-BTC,"The tender is for the construction of a concrete paver road from Sanparia Library house to Bhakru Lahary house under the SOPD (Special One Time Development) program for 2022-23. While the tender does not explicitly mention flood-related works, the location and timing of the project suggest it may be related to flood mitigation or preparedness. The Bodoland Territorial Council, which is responsible for panchayat and rural development, is the department involved. However, the tender does not provide any specific details about flood-related infrastructure or emergency response facilities. Therefore, the classification is ambiguous, as the flood relation is not clearly established.",Ambiguous,success,
2022_DHTS_27955_1,DHTP 19/2022/287,ENGAGEMENT OF SERVICE PROVIDER for implementation of activities under the scheme SWANIRBHAR NAARI,ENGAGEMENT OF SERVICE PROVIDER for implementation of activities under the scheme SWANIRBHAR NAARI,Services,Open Tender,Item Rate,Miscellaneous Services,No,No,NA ,29-Nov-2022 04:15 PM,05-Dec-2022 11:00 AM ,365.0,No ,No,Online,21-Dec-2022 03:00 PM,Department of Handloom Textile and Sericulture||Directorate of Handloom and Textiles-DHTS,Guwahati,781001.0,2.0,,BHAWANI MARKETING PVT.LTD,"500,000",Accepted-AOC,10-Jun-2024,Department of Handloom Textile and Sericulture||Directorate of Handloom and Textiles-DHTS,"The tender is for the ""ENGAGEMENT OF SERVICE PROVIDER for implementation of activities under the scheme SWANIRBHAR NAARI"", which is a development program focused on empowering women. There are no mentions of any flood-related works, infrastructure, or emergency response. The tender does not contain any keywords or context indicating flood protection, prevention, or mitigation. The department involved is the Department of Handloom Textile and Sericulture, which is not typically associated with flood management. Overall, this tender does not appear to be related to flood-related activities.",Non-Flood,success,
2022_GMC_28546_105,GER/CE/1806/2019/241 Dated-19/12/2022,Construction of road with sub drain 6 no ferry ghat to Nepali Patti,Construction of road with sub drain 6 no ferry ghat to Nepali Patti,Works,Open Tender,Lump-sum,Civil Works,No,No,NA ,09-Nov-2023 01:00 PM,NA ,180.0,No ,No,Online,30-Nov-2023 02:00 PM,Guwahati Municipal Corporation,GUWAHATI,781005.0,2.0,"80,00,000",M/S ALPHA INFOTECH,"7,544,000",Rejected-Technical,01-Feb-2024,Guwahati Municipal Corporation,"The tender is for the construction of a road with a sub-drain from 6 no ferry ghat to Nepali Patti. While the description mentions the construction of a road and sub-drain, it does not explicitly state that this is a flood-related project. The tender does not include any keywords or context that would indicate it is primarily for flood protection, prevention, or mitigation. The department involved is the Guwahati Municipal Corporation, which is a general civic authority and not a specialized flood management agency. Additionally, the tender does not mention any temporal factors such as pre-monsoon preparation or post-flood restoration. Overall, the information provided suggests this is a regular road construction project rather than a flood-related infrastructure work.",Non-Flood,success,
2022_GMC_28546_106,GER/CE/1806/2019/241 Dated-19/12/2022,"Construction of Antara path, Kahilipara, Janakpur in W/No. 26","Construction of Antara path, Kahilipara, Janakpur in W/No. 26",Works,Open Tender,Lump-sum,Civil Works,No,No,NA ,09-Nov-2023 02:00 PM,NA ,180.0,No ,No,Online,30-Nov-2023 02:00 PM,Guwahati Municipal Corporation,GUWAHATI,781005.0,2.0,"45,00,000",M/S BHARALI ASSOCIATES,"3,889,350",Rejected-Technical,25-Jan-2024,Guwahati Municipal Corporation,"The tender is for the construction of Antara path in Kahilipara, Janakpur, which is a regular construction project. There are no explicit mentions of flood-related works, such as flood protection, embankment construction, or drainage systems in flood-prone areas. The tender also does not mention any temporal factors like pre-monsoon preparation or post-flood restoration. Overall, the tender appears to be for a standard infrastructure development project without a clear flood-related focus.",Non-Flood,success,
2022_HFWD_27506_1,JMCH/2673/22/4664Dt.28/10/22,"SUPPLY AND INSTALLATION OF HIGH END ULTRASOUND COLOR DOPPLER SYSTEM IN THE DEPARTMENT OF RADIOLOGY AT JORHAT MEDICAL COLLEGE AND HOSPITAL, JORHAT-ASSAM","SUPPLY AND INSTALLATION OF HIGH END ULTRASOUND COLOR DOPPLER SYSTEM IN THE DEPARTMENT OF RADIOLOGY AT JORHAT MEDICAL COLLEGE AND HOSPITAL, JORHAT-ASSAM",Goods,Open Tender,Supply,Medical Equipments/Waste,No,No,NA ,29-Oct-2022 01:15 PM,04-Nov-2022 12:00 PM ,365.0,No ,No,Online,25-Nov-2022 01:00 PM,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Jorhat Medical College and Hospital-HFWD,DEPARTMENT OF RADIOLOGY AT JMCH,785001.0,2.0,,Synchronic Medical Systems,"5,182,800",Rejected-Finance,09-Feb-2023,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Jorhat Medical College and Hospital-HFWD,"The tender is for the supply and installation of a high-end ultrasound color Doppler system in the Department of Radiology at Jorhat Medical College and Hospital. This is a standard medical equipment procurement project and does not appear to be related to flood management or mitigation. There are no keywords or context indicating any flood-related aspects. The department involved is the Health and Family Welfare Department, which is not typically associated with flood-related infrastructure or projects. Overall, this tender does not seem to be flood-related.",Non-Flood,success,
2022_ICD_24373_1,AGCL/CNG/RB/CAS/2021/29/3,CNG CASCADE,CNG CASCADE,Goods,Limited,Buy,Mechanical Engg Items,No,No,NA ,16-Feb-2022 05:30 PM,19-Feb-2022 01:30 PM ,180.0,No ,No,Both(Online/Offline),23-Feb-2022 03:00 PM,Industries and Commerce Department||Assam Gas Company Ltd - ICD,Duliajan,786602.0,2.0,,GASOREX SR ENERGY PVT. LTD.,"14,760,000",Rejected-Technical,11-Jun-2024,Industries and Commerce Department||Assam Gas Company Ltd - ICD,"The tender details provided do not indicate any flood-related works or infrastructure. The tender is for the procurement of a 'CNG CASCADE', which is a type of compressed natural gas storage and transportation system. This is a standard industrial/commercial procurement and does not appear to be associated with flood protection, prevention, or mitigation. The department involved is the Industries and Commerce Department, which further suggests this is a non-flood-related project.",Non-Flood,success,
2023_AEGCL_33942_1,Tech-257/Deposit work/33KV OIL/Narengi GSS,Turnkey construction of 33kV Feeder Bay along with associated works at 132kV Narengi GSS for power supply to OIL,Turnkey construction of 33kV Feeder Bay along with associated works at 132kV Narengi GSS for power supply to OIL,Works,Open Tender,Works,Electrical Works,No,No,NA ,14-Nov-2023 05:00 PM,NA ,180.0,No ,No,Online,21-Dec-2023 02:00 PM,Assam Electricity Grid Corporation Ltd||CGM (T and T),NARENGI GSS,781026.0,2.0,"1,90,43,770",ARADHANA AGENCY,"16,836,204",Accepted-AOC,11-Jun-2024,Assam Electricity Grid Corporation Ltd||CGM (T and T),"The tender is for the turnkey construction of a 33kV Feeder Bay along with associated works at the 132kV Narengi GSS (Grid Substation) for power supply to OIL (Oil India Limited). The project is being undertaken by the Assam Electricity Grid Corporation Ltd, which is a power transmission utility and not a flood management agency. The tender does not mention any flood-related keywords, emergency response, or flood-prone infrastructure. The project appears to be a regular power infrastructure development work and is not directly related to flood protection, prevention, or mitigation.",Non-Flood,success,
